run,group_size,groups,n_columns,auc
223,4,"('age', 'workclass', 'race', 'native.country')",57,0.7469929980216437
224,4,"('age', 'workclass', 'sex', 'native.country')",54,0.7744457884947156
225,4,"('age', 'education', 'marital.status', 'occupation')",39,0.8788660553206047
226,4,"('age', 'education', 'marital.status', 'relationship')",30,0.8675802176742343
227,4,"('age', 'education', 'marital.status', 'race')",29,0.8683965075176625
228,4,"('age', 'education', 'marital.status', 'sex')",26,0.866812481025847
229,4,"('age', 'education', 'marital.status', 'native.country')",66,0.8704816006893523
230,4,"('age', 'education', 'occupation', 'relationship')",38,0.8791724219686525
231,4,"('age', 'education', 'occupation', 'race')",37,0.821496872646861
232,4,"('age', 'education', 'occupation', 'sex')",34,0.8323104774470123
233,4,"('age', 'education', 'occupation', 'native.country')",74,0.8208083860482309
234,4,"('age', 'education', 'relationship', 'race')",28,0.8680979942199342
235,4,"('age', 'education', 'relationship', 'sex')",25,0.8671527546572089
236,4,"('age', 'education', 'relationship', 'native.country')",65,0.8707667575591649
237,4,"('age', 'education', 'race', 'sex')",24,0.8201371538908135
238,4,"('age', 'education', 'race', 'native.country')",64,0.801072286134354
239,4,"('age', 'education', 'sex', 'native.country')",61,0.819915683679431
240,4,"('age', 'marital.status', 'occupation', 'relationship')",29,0.864681557536052
241,4,"('age', 'marital.status', 'occupation', 'race')",28,0.8635628563815981
242,4,"('age', 'marital.status', 'occupation', 'sex')",25,0.86887126260778
243,4,"('age', 'marital.status', 'occupation', 'native.country')",65,0.8679567198997705
244,4,"('age', 'marital.status', 'relationship', 'race')",19,0.8295150859993452
245,4,"('age', 'marital.status', 'relationship', 'sex')",16,0.8276410014592328
246,4,"('age', 'marital.status', 'relationship', 'native.country')",56,0.827956224622787
247,4,"('age', 'marital.status', 'race', 'sex')",15,0.8278737931062947
248,4,"('age', 'marital.status', 'race', 'native.country')",55,0.8288659234760373
249,4,"('age', 'marital.status', 'sex', 'native.country')",52,0.8292880553866415
250,4,"('age', 'occupation', 'relationship', 'race')",27,0.8649187631099359
251,4,"('age', 'occupation', 'relationship', 'sex')",24,0.8704049015453559
252,4,"('age', 'occupation', 'relationship', 'native.country')",64,0.8692566500106851
253,4,"('age', 'occupation', 'race', 'sex')",23,0.8157093547274646
254,4,"('age', 'occupation', 'race', 'native.country')",63,0.8023384812331296
255,4,"('age', 'occupation', 'sex', 'native.country')",60,0.819262565819101
256,4,"('age', 'relationship', 'race', 'sex')",14,0.8302892429049279
257,4,"('age', 'relationship', 'race', 'native.country')",54,0.8302603517475482
258,4,"('age', 'relationship', 'sex', 'native.country')",51,0.8306872128654617
259,4,"('age', 'race', 'sex', 'native.country')",50,0.7679285108947178
260,4,"('hours.per.week', 'workclass', 'education', 'marital.status')",33,0.871760407007619
261,4,"('hours.per.week', 'workclass', 'education', 'occupation')",41,0.7961128667457276
262,4,"('hours.per.week', 'workclass', 'education', 'relationship')",32,0.8735036788073729
263,4,"('hours.per.week', 'workclass', 'education', 'race')",31,0.7755648909152444
264,4,"('hours.per.week', 'workclass', 'education', 'sex')",28,0.7883765428107337
265,4,"('hours.per.week', 'workclass', 'education', 'native.country')",68,0.7756658093330362
266,4,"('hours.per.week', 'workclass', 'marital.status', 'occupation')",32,0.8681109780436376
267,4,"('hours.per.week', 'workclass', 'marital.status', 'relationship')",23,0.8360912637267393
268,4,"('hours.per.week', 'workclass', 'marital.status', 'race')",22,0.8306893625051477
269,4,"('hours.per.week', 'workclass', 'marital.status', 'sex')",19,0.8322903854814139
270,4,"('hours.per.week', 'workclass', 'marital.status', 'native.country')",59,0.834717185377589
271,4,"('hours.per.week', 'workclass', 'occupation', 'relationship')",31,0.8710903786484259
272,4,"('hours.per.week', 'workclass', 'occupation', 'race')",30,0.7764563035002325
273,4,"('hours.per.week', 'workclass', 'occupation', 'sex')",27,0.7906719280674385
274,4,"('hours.per.week', 'workclass', 'occupation', 'native.country')",67,0.7749169608520232
